,year,selling_price,km_driven,brand,fuel,seller,transmission,owner
29,11,14.491002803285499,10.239995502805316,Jaguar_XF,Diesel,Dealer,Automatic,First Owner
30,12,14.169683073439028,10.985309671896763,Mercedes-Benz_New,Diesel,Dealer,Automatic,First Owner
31,7,13.790193775620484,8.412054873292933,Maruti_Vitara,Diesel,Dealer,Automatic,First Owner
32,14,13.989464705423494,12.077676615757813,Audi_Q5,Diesel,Dealer,Automatic,First Owner
33,7,13.742940940397677,9.581972891547895,Honda_City,Petrol,Dealer,Manual,First Owner
34,7,13.171155446333852,9.61587214452889,Tata_Tigor,Petrol,Individual,Manual,First Owner
35,12,14.366518547731806,10.819798284210286,Audi_A6,Diesel,Dealer,Automatic,First Owner
36,13,14.13396501635527,10.428245666832275,Mercedes-Benz_New,Diesel,Dealer,Automatic,Second Owner
37,14,13.017005083966255,11.778369597156942,Skoda_Superb,Diesel,Dealer,Automatic,Second Owner
38,9,13.710151153416941,10.819798284210286,Toyota_Corolla,Petrol,Individual,Automatic,First Owner
39,10,14.077875591662238,11.289794413577894,Toyota_Innova,Diesel,Individual,Manual,First Owner
40,6,14.151983508870947,9.210440366976517,Jeep_Compass,Petrol,Individual,Manual,First Owner
41,15,13.652992804936396,11.686887175419702,Mercedes-Benz_E-Class,Petrol,Dealer,Automatic,First Owner
42,11,12.345834587905333,11.002116507732017,Hyundai_i10,Petrol,Individual,Manual,Fourth & Above Owner
43,12,14.253766134056512,11.235866764155578,BMW_3,Diesel,Dealer,Automatic,Second Owner
44,16,14.038654909278163,11.264476926102367,Audi_Q7,Diesel,Dealer,Automatic,Third Owner
45,13,13.345508528717259,10.596659732783579,Hyundai_Elantra,Diesel,Individual,Manual,First Owner
46,11,13.864301674514206,10.819798284210286,Mahindra_Scorpio,Diesel,Individual,Manual,First Owner
47,11,13.235693848424024,11.211833885608513,Honda_City,Diesel,Individual,Manual,Second Owner
48,11,12.577639650232573,11.06665398721974,Maruti_Wagon,Petrol,Individual,Manual,Second Owner
49,13,12.524530013005734,11.002116507732017,Maruti_Wagon,Petrol,Individual,Manual,Second Owner
50,16,12.926350926565435,11.695255355062795,Mahindra_Scorpio,Diesel,Individual,Manual,Second Owner
51,16,11.918397239722838,11.277215789596893,Hyundai_Santro,Petrol,Individual,Manual,Third Owner
52,6,13.122365377402328,9.61587214452889,Hyundai_Grand,Petrol,Individual,Manual,First Owner
53,19,11.51293546492023,11.289794413577894,Maruti_Alto,Petrol,Individual,Manual,First Owner
54,8,13.493928313146206,9.825580063659602,Maruti_Swift,Diesel,Dealer,Manual,First Owner
55,7,12.901719200051183,9.23024103368252,Maruti_Eeco,Petrol,Dealer,Manual,First Owner
56,7,13.527829818844937,10.275085591132715,Hyundai_i20,Diesel,Dealer,Manual,First Owner
57,7,12.644330802262578,10.239995502805316,Maruti_Omni,Petrol,Dealer,Manual,First Owner
58,9,13.407543823396258,10.736418414365374,Maruti_Swift,Diesel,Dealer,Manual,First Owner
59,11,13.049794835104816,11.156264806643742,Hyundai_i20,Diesel,Dealer,Manual,First Owner
60,13,11.982935344196433,11.002116507732017,Maruti_Alto,Petrol,Individual,Manual,Second Owner
61,29,12.429220196836383,10.463131911491967,Mahindra_Jeep,Diesel,Individual,Manual,Second Owner
62,11,13.42246945133505,11.407576060361786,Honda_City,Diesel,Dealer,Manual,First Owner
63,12,12.611541086966115,11.289794413577894,Maruti_Wagon,Petrol,Dealer,Manual,First Owner
64,20,11.156264806643742,11.289794413577894,Tata_Indica,Diesel,Individual,Manual,First Owner
65,11,12.388398368982115,11.202329530346486,Hyundai_EON,Petrol,Dealer,Manual,Second Owner
66,11,13.171155446333852,11.429554725537322,Toyota_Etios,Diesel,Dealer,Manual,First Owner
67,16,11.92504173829169,11.108934270118064,Maruti_Alto,Petrol,Dealer,Manual,Second Owner
68,16,11.849404844423074,11.51293546492023,Maruti_Alto,Petrol,Individual,Manual,First Owner
69,15,12.54254845357358,12.765691290604371,Chevrolet_Tavera,Diesel,Individual,Manual,Second Owner
70,14,12.765691290604371,12.345838935721968,Toyota_Corolla,Diesel,Individual,Manual,First Owner
71,8,13.25339339419516,11.002116507732017,Mahindra_Scorpio,Diesel,Individual,Manual,First Owner
72,7,12.611541086966115,10.34177474101152,Hyundai_EON,Petrol,Individual,Manual,First Owner
73,18,11.51293546492023,10.571342565808699,Tata_Indigo,Diesel,Individual,Manual,First Owner
74,16,13.122365377402328,11.695255355062795,Toyota_Innova,Diesel,Individual,Manual,Third Owner
75,11,11.736077016252437,12.019749091416921,Tata_Indica,Diesel,Individual,Manual,Fourth & Above Owner
76,19,11.775297421715827,11.608244735642321,Maruti_Swift,Petrol,Individual,Manual,Third Owner
77,8,13.73755009757506,10.463131911491967,Ford_EcoSport,Diesel,Individual,Manual,First Owner
78,7,13.527829818844937,11.002116507732017,Maruti_Ciaz,Diesel,Individual,Manual,First Owner
79,18,12.206077645517674,10.896757843893464,Honda_Civic,Petrol,Individual,Automatic,Second Owner
80,15,12.421188057397055,11.050905878263567,Hyundai_i10,Petrol,Individual,Manual,Second Owner
81,11,13.017005083966255,11.695255355062795,Skoda_Rapid,Diesel,Individual,Manual,Second Owner
82,20,11.289794413577894,11.695255355062795,Hyundai_Getz,Petrol,Individual,Manual,Third Owner
83,11,13.384729180332174,11.23850177707664,Nissan_Terrano,Petrol,Individual,Manual,Second Owner
84,10,13.017005083966255,11.289794413577894,Hyundai_Grand,Diesel,Individual,Manual,First Owner
85,6,13.384729180332174,10.12667110305036,Hyundai_Elite,Diesel,Individual,Manual,First Owner
86,9,13.112315061750808,9.389239411968807,Honda_Amaze,Petrol,Dealer,Manual,First Owner
87,10,12.82396003700373,9.90353755128617,Honda_Brio,Petrol,Dealer,Manual,First Owner
88,8,13.840204146163925,9.105090961257085,Hyundai_Creta,Petrol,Dealer,Manual,First Owner
89,8,15.913528607916424,8.77971129020447,Mercedes-Benz_S-Class,Diesel,Dealer,Automatic,First Owner
90,10,13.527829818844937,11.156264806643742,Mahindra_XUV500,Diesel,Individual,Manual,First Owner
91,12,13.304686600863562,11.695255355062795,Renault_Duster,Diesel,Individual,Manual,First Owner
92,18,11.289794413577894,10.968215530759236,Hyundai_Santro,Petrol,Dealer,Manual,Second Owner
93,12,12.691583538230217,11.038126355768453,Mahindra_Bolero,Diesel,Dealer,Manual,First Owner
94,11,14.200773639026796,10.434145214930487,Audi_A6,Diesel,Dealer,Automatic,Second Owner
95,10,12.765691290604371,10.87806606028079,Fiat_Avventura,Diesel,Individual,Manual,Second Owner
96,12,14.845130332288226,10.799595985047786,Audi_A8,Diesel,Dealer,Automatic,First Owner
97,8,12.25486757159303,9.61587214452889,Datsun_RediGO,Petrol,Dealer,Manual,Second Owner
98,12,13.017005083966255,10.819798284210286,Volkswagen_Jetta,Petrol,Individual,Manual,First Owner
99,12,13.955273369904273,10.87806606028079,Audi_A4,Diesel,Dealer,Automatic,First Owner
100,16,12.25486757159303,11.05881093278828,Honda_Civic,Petrol,Dealer,Automatic,First Owner
101,7,15.319588176962746,9.19023970026918,Mercedes-Benz_E-Class,Petrol,Dealer,Automatic,First Owner
102,8,14.827111833279051,9.472781556562168,BMW_X1,Diesel,Individual,Automatic,First Owner
103,7,14.496079462646344,9.952325334619427,Volvo_V40,Diesel,Dealer,Automatic,First Owner
104,17,12.07254696717504,10.281033180646158,Maruti_SX4,Petrol,Dealer,Manual,First Owner
105,13,14.731801689838349,10.778977123006351,BMW_7,Diesel,Dealer,Automatic,First Owner
106,8,13.350297037805756,11.695255355062795,Mahindra_Bolero,Diesel,Individual,Manual,First Owner
107,15,13.304686600863562,11.51293546492023,Hyundai_Sonata,Diesel,Individual,Manual,First Owner
108,8,12.896719202134523,10.308985993422082,Nissan_Micra,Petrol,Individual,Manual,First Owner
109,7,13.527829818844937,11.373674891823535,Mahindra_Xylo,Diesel,Individual,Manual,First Owner
110,6,13.527829818844937,9.61587214452889,Hyundai_Elite,Petrol,Individual,Manual,First Owner
111,8,12.660331092405906,9.680406499268875,Renault_KWID,Petrol,Individual,Manual,First Owner
112,13,13.304686600863562,11.002116507732017,Mahindra_Xylo,Diesel,Individual,Manual,First Owner
113,15,11.51293546492023,11.002116507732017,Maruti_Wagon,Petrol,Individual,Manual,Fourth & Above Owner
114,14,12.429220196836383,11.608244735642321,Maruti_SX4,Petrol,Individual,Manual,Third Owner
115,8,12.765691290604371,10.12667110305036,Renault_KWID,Petrol,Individual,Manual,First Owner
116,9,13.567050480716235,11.002116507732017,Hyundai_Creta,Diesel,Individual,Manual,First Owner
117,11,12.980802117227352,11.2816363282696,Maruti_Swift,Diesel,Individual,Manual,Second Owner
118,9,13.444448325847754,11.289794413577894,Hyundai_Verna,Petrol,Individual,Automatic,First Owner
119,11,13.22672519452875,11.407576060361786,Mahindra_Scorpio,Diesel,Individual,Manual,Second Owner
120,18,11.695255355062795,11.407576060361786,Maruti_SX4,Petrol,Individual,Manual,Second Owner
121,11,13.122365377402328,11.695255355062795,Maruti_Ertiga,Diesel,Individual,Manual,Second Owner
122,12,12.013706813470414,11.002116507732017,Chevrolet_Beat,Diesel,Individual,Manual,Second Owner
123,21,11.461642696843066,10.819798284210286,Maruti_Zen,Petrol,Individual,Manual,First Owner
124,7,13.217675375388819,9.90353755128617,Maruti_Baleno,Petrol,Individual,Manual,First Owner
125,18,11.51293546492023,11.608244735642321,Maruti_Swift,Diesel,Individual,Manual,Fourth & Above Owner
126,13,11.51293546492023,10.819798284210286,Tata_Nano,Petrol,Individual,Manual,Second Owner
127,13,13.122365377402328,11.51293546492023,Toyota_Innova,Diesel,Individual,Manual,First Owner
128,9,13.592368256649284,11.156264806643742,Maruti_Ertiga,Diesel,Individual,Manual,Second Owner
129,9,13.641158361294979,11.156264806643742,Hyundai_Creta,Diesel,Individual,Manual,Second Owner
130,9,13.102162710901053,10.819798284210286,Honda_Amaze,Petrol,Individual,Manual,First Owner
131,15,11.736077016252437,11.302216779257382,Tata_Indica,Diesel,Individual,Manual,Second Owner
132,13,12.899222326086994,11.695255355062795,Chevrolet_Tavera,Diesel,Individual,Manual,Third Owner
133,10,13.815511557963774,8.188966863648876,Chevrolet_Cruze,Diesel,Dealer,Manual,First Owner
134,10,13.180634172318978,9.566124919629768,Ford_Figo,Petrol,Dealer,Manual,First Owner
135,8,13.641158361294979,10.803933414848446,Ford_EcoSport,Diesel,Dealer,Manual,First Owner
136,10,12.345834587905333,10.596659732783579,Hyundai_i10,Petrol,Individual,Manual,First Owner
137,27,10.596659732783579,10.596659732783579,Maruti_800,Petrol,Individual,Manual,Fourth & Above Owner
138,13,11.775297421715827,11.289794413577894,Chevrolet_Spark,Petrol,Individual,Manual,First Owner
139,10,12.206077645517674,11.156264806643742,Hyundai_EON,Petrol,Individual,Manual,First Owner
140,14,11.695255355062795,11.156264806643742,Tata_Indica,Diesel,Individual,Manual,First Owner
141,22,11.225256725762893,10.950824090522445,Hyundai_Santro,Petrol,Individual,Manual,First Owner
142,9,12.429220196836383,11.695255355062795,Tata_Bolt,Diesel,Individual,Manual,First Owner
143,20,11.51293546492023,10.308985993422082,Maruti_800,Petrol,Individual,Manual,First Owner
144,12,12.54254845357358,8.083637203141548,Hyundai_EON,Petrol,Individual,Manual,Second Owner
145,10,13.199326270390594,8.517393171418904,Hyundai_i20,Petrol,Individual,Manual,First Owner
146,7,13.45883704259595,9.210440366976517,Hyundai_i20,Petrol,Individual,Manual,First Owner
147,10,13.171155446333852,11.51293546492023,Maruti_Ciaz,Diesel,Individual,Manual,First Owner
148,9,12.971542813248437,11.289794413577894,Hyundai_i20,Diesel,Individual,Manual,First Owner
149,23,11.082157933374816,11.156264806643742,Hyundai_Santro,Petrol,Individual,Manual,First Owner
150,7,13.592368256649284,10.463131911491967,Maruti_Vitara,Diesel,Individual,Manual,First Owner
151,18,11.225256725762893,11.643962499267984,Hyundai_Santro,Petrol,Individual,Manual,Second Owner
152,17,12.25486757159303,10.892526761440571,Hyundai_Getz,Petrol,Individual,Manual,First Owner
153,13,12.180759965737863,11.849404844423074,Mahindra_Quanto,Diesel,Individual,Manual,Second Owner
154,10,12.899222326086994,11.695255355062795,Chevrolet_Tavera,Diesel,Individual,Manual,First Owner
155,13,12.04355959836804,11.002116507732017,Hyundai_EON,Petrol,Individual,Manual,First Owner
156,9,12.323860125621126,10.12667110305036,Renault_KWID,Petrol,Individual,Manual,First Owner
157,11,12.25486757159303,11.407576060361786,Maruti_Wagon,LPG,Individual,Manual,First Owner
158,5,12.388398368982115,11.695255355062795,Maruti_Wagon,Petrol,Individual,Manual,First Owner
159,10,12.611541086966115,12.07254696717504,Chevrolet_Enjoy,Diesel,Individual,Manual,First Owner
160,14,11.502885230075814,11.51293546492023,Chevrolet_Spark,Petrol,Individual,Manual,Third Owner
161,11,13.3374763699232,10.491301994830229,Honda_City,Petrol,Individual,Manual,First Owner
162,12,13.122365377402328,10.308985993422082,Honda_Amaze,Diesel,Individual,Manual,First Owner
163,15,14.751604309291395,10.596659732783579,Jaguar_XJ,Petrol,Individual,Automatic,Second Owner
164,12,12.468440756144114,11.156264806643742,Honda_Brio,Petrol,Individual,Manual,Second Owner
165,8,13.217675375388819,11.002116507732017,Maruti_Swift,Petrol,Individual,Manual,First Owner
166,14,11.918397239722838,11.954407441448915,Tata_Indigo,Diesel,Individual,Manual,First Owner
167,14,12.765691290604371,10.819798284210286,Hyundai_i10,Petrol,Individual,Automatic,Second Owner
168,9,12.676079399771027,10.596659732783579,Chevrolet_Beat,Petrol,Individual,Manual,First Owner
169,10,12.899222326086994,11.51293546492023,Maruti_Swift,Diesel,Individual,Manual,Third Owner
170,13,12.07254696717504,11.289794413577894,Maruti_Alto,Petrol,Individual,Manual,Third Owner
171,14,11.695255355062795,11.407576060361786,Chevrolet_Beat,Petrol,Individual,Manual,Second Owner
172,12,12.676079399771027,11.407576060361786,Renault_Duster,Diesel,Individual,Manual,Second Owner
173,19,11.156264806643742,11.608244735642321,Hyundai_Santro,Petrol,Individual,Manual,Third Owner
174,6,13.60479076121576,9.61587214452889,Maruti_Swift,Petrol,Individual,Manual,First Owner
175,18,11.461642696843066,11.51293546492023,Maruti_800,Petrol,Individual,Manual,Second Owner
176,5,12.549665896013254,10.596659732783579,Maruti_Alto,CNG,Individual,Manual,First Owner
177,21,11.289794413577894,11.002116507732017,Maruti_800,Petrol,Individual,Manual,Second Owner
178,12,11.184435286790631,10.12667110305036,Tata_Nano,Petrol,Individual,Manual,First Owner
179,9,13.304686600863562,10.12667110305036,Hyundai_i20,Petrol,Individual,Manual,First Owner
180,10,13.369225017834633,10.043292972227004,Skoda_Rapid,Petrol,Individual,Manual,First Owner
181,7,12.847929163278053,10.005863619152995,Maruti_Alto,Petrol,Individual,Manual,First Owner
182,7,13.384729180332174,11.156264806643742,Maruti_Ciaz,Petrol,Individual,Manual,First Owner
183,16,11.918397239722838,11.002116507732017,Maruti_Alto,Petrol,Individual,Manual,Second Owner
184,16,12.54254845357358,11.608244735642321,Hyundai_i20,Petrol,Individual,Manual,Second Owner
185,7,12.971542813248437,10.308985993422082,Tata_Nexon,Petrol,Individual,Manual,First Owner
186,6,13.592368256649284,9.61587214452889,Mahindra_Bolero,Diesel,Individual,Manual,First Owner
187,22,11.225256725762893,11.51293546492023,Maruti_Zen,Diesel,Individual,Manual,Second Owner
188,9,13.384729180332174,11.156264806643742,Volkswagen_Vento,Diesel,Individual,Automatic,First Owner
189,8,12.873904582205107,10.085850775128717,Maruti_Eeco,Petrol,Individual,Manual,First Owner
190,20,11.51293546492023,11.695255355062795,Honda_City,Petrol,Individual,Manual,Second Owner
191,12,14.220976332738882,10.463131911491967,Mercedes-Benz_New,Diesel,Individual,Automatic,First Owner
192,18,12.07254696717504,11.269336830028958,Maruti_SX4,Petrol,Individual,Manual,First Owner
193,13,12.983101310070822,11.608244735642321,Renault_Duster,Diesel,Individual,Manual,Second Owner
194,15,12.04355959836804,11.407576060361786,Ford_Figo,Diesel,Individual,Manual,Third Owner
195,14,12.154784614286667,11.407576060361786,Ford_Figo,Diesel,Individual,Manual,Third Owner
196,16,12.429220196836383,11.918397239722838,Maruti_Swift,Diesel,Individual,Manual,Third Owner
197,16,12.345834587905333,12.345838935721968,Mahindra_Xylo,Diesel,Individual,Manual,Third Owner
198,19,11.849404844423074,11.156264806643742,Maruti_Esteem,Petrol,Individual,Manual,Third Owner
199,8,13.304686600863562,11.294309150238021,Maruti_Swift,Diesel,Individual,Manual,First Owner
200,13,12.54254845357358,11.608244735642321,Hyundai_i20,Petrol,Individual,Manual,Third Owner
201,13,11.918397239722838,11.002116507732017,Chevrolet_Beat,Diesel,Individual,Manual,First Owner
202,10,13.384729180332174,10.819798284210286,Chevrolet_Cruze,Diesel,Individual,Automatic,First Owner
203,11,12.25486757159303,10.596659732783579,Nissan_Micra,Petrol,Individual,Manual,Second Owner
204,8,14.88022163978423,10.596659732783579,BMW_5,Diesel,Individual,Automatic,First Owner
205,12,12.959846800844963,9.90353755128617,Chevrolet_Enjoy,Diesel,Dealer,Manual,First Owner
206,11,12.487488878546145,10.915106645867503,Hyundai_EON,Petrol,Dealer,Manual,First Owner
207,7,13.698977865303197,7.036148493750536,Fiat_Linea,Petrol,Dealer,Manual,First Owner
208,12,12.807655372286902,10.915106645867503,Renault_Scala,Petrol,Dealer,Manual,First Owner
209,11,12.765691290604371,10.668978650219241,Ford_Figo,Petrol,Dealer,Manual,First Owner
210,9,13.437175577097312,11.002116507732017,Maruti_Ciaz,Diesel,Individual,Manual,First Owner
211,7,13.753636218075409,7.8826922062890254,Skoda_Rapid,Diesel,Dealer,Manual,First Owner
212,8,13.815511557963774,10.596659732783579,Mahindra_XUV500,Diesel,Individual,Manual,First Owner
213,6,13.955273369904273,9.61587214452889,Mahindra_XUV300,Petrol,Dealer,Manual,First Owner
214,9,13.017005083966255,11.66102645369094,Maruti_Ertiga,Diesel,Individual,Manual,Second Owner
215,10,13.28787951079572,11.082157933374816,Nissan_Terrano,Diesel,Dealer,Manual,First Owner
216,8,13.592368256649284,10.596659732783579,Maruti_S-Cross,Diesel,Individual,Manual,First Owner
217,13,12.861001210669146,10.968215530759236,Hyundai_i20,Diesel,Dealer,Manual,First Owner
218,12,14.508658238524095,9.61587214452889,Mercedes-Benz_New,Diesel,Individual,Automatic,First Owner
219,13,12.367345048436391,10.896757843893464,Hyundai_EON,Petrol,Dealer,Manual,First Owner
220,8,13.369225017834633,10.933124826700707,Volkswagen_Ameo,Diesel,Dealer,Manual,First Owner
221,19,10.859018228147887,11.695255355062795,Maruti_Alto,Petrol,Individual,Manual,Third Owner
222,16,11.289794413577894,11.407576060361786,Maruti_Omni,LPG,Individual,Manual,Second Owner
223,13,11.849404844423074,11.156264806643742,Maruti_Alto,Petrol,Individual,Manual,Second Owner
224,17,11.695255355062795,11.407576060361786,Hyundai_Verna,Petrol,Individual,Manual,Second Owner
225,17,11.407564949312402,12.269052139516223,Mahindra_Renault,Diesel,Individual,Manual,First Owner
226,13,12.100717685412471,11.695255355062795,Chevrolet_Optra,Diesel,Individual,Manual,First Owner
227,8,14.220976332738882,9.90353755128617,Mahindra_Scorpio,Diesel,Individual,Manual,First Owner
228,8,13.45883704259595,9.210440366976517,Hyundai_i20,Petrol,Individual,Manual,First Owner
229,13,12.560247968016562,11.289794413577894,Maruti_SX4,Diesel,Individual,Manual,Second Owner
230,10,12.873904582205107,11.407576060361786,Hyundai_Grand,Petrol,Individual,Manual,First Owner
231,17,11.736077016252437,11.289794413577894,Maruti_Alto,Petrol,Individual,Manual,First Owner
232,17,12.323860125621126,11.002116507732017,Maruti_SX4,Petrol,Individual,Manual,Second Owner
233,14,12.07254696717504,11.842236406331555,Hyundai_i10,Petrol,Individual,Manual,Second Owner
234,14,13.887832149776026,11.982935344196433,Toyota_Innova,Diesel,Individual,Manual,Second Owner
235,11,12.611541086966115,11.918397239722838,Honda_Mobilio,Diesel,Individual,Manual,First Owner
236,15,13.45883704259595,12.001511614739405,Toyota_Innova,Diesel,Individual,Manual,Fourth & Above Owner
237,16,11.407576060361786,11.695255355062795,Tata_Indica,Diesel,Dealer,Manual,First Owner
238,14,11.695255355062795,11.695255355062795,Tata_Indica,Diesel,Individual,Manual,Second Owner
239,13,12.301387370778713,11.51293546492023,Chevrolet_Beat,Diesel,Individual,Manual,Second Owner
240,10,12.611541086966115,11.849404844423074,Tata_Zest,Diesel,Dealer,Manual,First Owner
241,15,12.100717685412471,11.373674891823535,Skoda_Fabia,Diesel,Dealer,Manual,Second Owner
242,12,12.04355959836804,11.156264806643742,Maruti_800,Petrol,Individual,Manual,First Owner
243,10,12.611541086966115,10.819798284210286,Ford_Figo,Petrol,Individual,Manual,Second Owner
244,11,13.864301674514206,11.156264806643742,Toyota_Innova,Diesel,Individual,Manual,First Owner
245,11,12.611541086966115,11.918397239722838,Honda_Mobilio,Diesel,Individual,Manual,First Owner
246,7,13.049794835104816,10.12667110305036,Hyundai_Grand,Diesel,Individual,Manual,First Owner
247,14,11.775297421715827,11.289794413577894,Chevrolet_Beat,Diesel,Individual,Manual,Second Owner
248,7,12.983101310070822,9.210440366976517,Datsun_GO,Petrol,Individual,Manual,First Owner
249,7,13.122365377402328,10.373522431293592,Hyundai_Grand,Petrol,Individual,Manual,First Owner
250,7,12.206077645517674,9.210440366976517,Maruti_Omni,Petrol,Individual,Manual,First Owner
251,8,13.345508528717259,10.859018228147887,Maruti_Baleno,Petrol,Dealer,Manual,First Owner
252,19,11.608244735642321,11.695255355062795,Ford_Fiesta,Diesel,Individual,Manual,Third Owner
253,6,13.592368256649284,9.327323087461798,Hyundai_Elite,Petrol,Individual,Manual,First Owner
254,8,13.102162710901053,11.097425172408931,Hyundai_Grand,Diesel,Dealer,Manual,First Owner
255,8,13.68767832281738,11.06665398721974,Maruti_Ertiga,Diesel,Dealer,Manual,First Owner
256,12,12.577639650232573,10.799595985047786,Hyundai_Santro,Petrol,Individual,Manual,First Owner
257,19,11.661345470088502,11.51293546492023,Tata_Sumo,Diesel,Individual,Manual,Second Owner
258,7,12.793862088206213,10.184937747111391,Renault_KWID,Petrol,Individual,Manual,First Owner
259,23,11.082157933374816,11.51293546492023,Maruti_800,Petrol,Individual,Manual,Second Owner
260,8,13.437175577097312,11.184435286790631,Maruti_Vitara,Diesel,Dealer,Manual,First Owner
261,16,12.611541086966115,10.819798284210286,Honda_Jazz,Petrol,Individual,Manual,First Owner
262,8,13.429849547739444,10.691967639914864,Hyundai_i20,Diesel,Dealer,Manual,First Owner
263,8,13.815511557963774,11.002116507732017,Maruti_Ertiga,Diesel,Individual,Manual,Second Owner
264,23,11.51293546492023,11.695255355062795,Tata_Sumo,Diesel,Individual,Manual,First Owner
265,15,11.982935344196433,11.775297421715827,Mahindra_Xylo,Diesel,Individual,Manual,First Owner
266,8,13.017005083966255,11.156264806643742,Maruti_Swift,Diesel,Individual,Manual,First Owner
267,11,13.304686600863562,9.90353755128617,Maruti_Ertiga,Petrol,Individual,Manual,First Owner
268,16,12.100717685412471,11.002116507732017,Hyundai_i20,Diesel,Individual,Manual,Second Owner
269,18,11.51293546492023,12.180759965737863,Maruti_Alto,Petrol,Individual,Manual,First Owner
270,15,11.695255355062795,11.407576060361786,Maruti_Alto,Petrol,Individual,Manual,Second Owner
271,19,11.775297421715827,11.289794413577894,Hyundai_Getz,Petrol,Individual,Manual,Third Owner
272,14,11.982935344196433,11.951186847493476,Maruti_Wagon,Petrol,Individual,Manual,First Owner
273,6,13.664688831019712,10.463131911491967,Mahindra_Bolero,Diesel,Individual,Manual,First Owner
274,7,13.384729180332174,9.90353755128617,Hyundai_i20,Petrol,Individual,Manual,Second Owner
275,15,11.51293546492023,11.289794413577894,Maruti_Wagon,Petrol,Individual,Manual,Second Owner
276,8,12.549665896013254,9.90353755128617,Maruti_Alto,Petrol,Individual,Manual,First Owner
277,16,12.611541086966115,10.819798284210286,Hyundai_i20,Petrol,Individual,Manual,First Owner
278,15,12.506180941677357,11.608244735642321,Hyundai_i20,Petrol,Individual,Manual,Second Owner
279,12,13.217675375388819,10.275085591132715,Hyundai_Verna,Diesel,Individual,Manual,First Owner
280,12,13.017005083966255,11.695255355062795,Mahindra_Xylo,Diesel,Individual,Manual,First Owner
281,14,12.971542813248437,11.156264806643742,Mahindra_Bolero,Diesel,Individual,Manual,Second Owner
282,12,12.765691290604371,10.596659732783579,Maruti_Ertiga,Petrol,Individual,Manual,First Owner
283,8,12.765691290604371,9.90353755128617,Honda_Brio,Petrol,Individual,Manual,First Owner
284,12,12.345834587905333,10.819798284210286,Toyota_Etios,Petrol,Individual,Manual,Second Owner
285,12,11.608244735642321,10.819798284210286,Maruti_Alto,Petrol,Individual,Manual,First Owner
286,13,12.886643575525625,10.799595985047786,Maruti_Swift,Petrol,Individual,Manual,Second Owner
287,14,13.384729180332174,11.156264806643742,Mahindra_Scorpio,Diesel,Individual,Automatic,Second Owner
